movie_id,actor_id
295,295
313,295
437,295
450,295
557,295
1311,295
2562,295
296,296
185,297
297,297
1419,297
3951,297
182,298
298,298
701,298
299,299
300,300
426,300
438,300
552,300
31,301
77,301
181,301
189,301
294,301
301,301
303,301
302,302
1443,302
31,303
77,303
181,303
189,303
294,303
301,303
303,303
82,304
304,304
445,304
543,304
1280,304
2870,304
1,305
305,305
1074,305
1447,305
306,306
80,307
307,307
549,307
2451,307
308,308
309,309
1438,309
310,310
311,311
312,312
420,312
1549,312
32,313
81,313
119,313
295,313
313,313
437,313
450,313
557,313
1311,313
2562,313
314,314
458,314
315,315
316,316
2314,316
317,317
51,318
52,318
83,318
127,318
193,318
318,318
319,319
194,320
320,320
1320,320
321,321
86,322
322,322
591,322
323,323
648,323
1676,323
2268,323
2881,323
160,324
324,324
326,324
335,324
1208,324
325,325
1166,325
160,326
324,326
326,326
335,326
1208,326
327,327
621,327
1340,327
2600,327
3637,327
328,328
1354,328
217,329
329,329
362,329
777,329
1024,329
1037,329
1099,329
1511,329
1756,329
2904,329
3795,329
330,330
134,331
331,331
332,332
2908,332
3754,332
333,333
1203,333
334,334
160,335
324,335
326,335
335,335
1208,335
203,336
336,336
2882,336
337,337
900,337
338,338
3746,338
339,339
887,339
1744,339
72,340
168,340
275,340
340,340
663,340
1016,340
1029,340
1109,340
33,341
341,341
635,341
1039,341
2235,341
342,342
8,343
37,343
145,343
147,343
243,343
343,343
361,343
652,343
879,343
1658,343
2062,343
344,344
3774,344
345,345
356,345
346,346
730,346
3084,346
347,347
1327,347
1912,347
348,348
722,348
349,349
350,350
2221,350
351,351
3582,351
148,352
156,352
258,352
352,352
629,352
1374,352
54,353
353,353
354,354
355,355
1152,355
2042,355
345,356
356,356
357,357
502,357
914,357
1059,357
1060,357
1767,357
2583,357
358,358
21,359
359,359
569,359
2578,359
2969,359
3147,359
360,360
917,360
8,361
37,361
145,361
147,361
243,361
343,361
361,361
652,361
879,361
1658,361
2062,361
217,362
329,362
362,362
777,362
1024,362
1037,362
1099,362
1511,362
1756,362
2904,362
3795,362
363,363
364,364
110,365
124,365
365,365
404,365
656,365
668,365
1110,365
1124,365
1365,365
1404,365
1656,365
1668,365
2110,365
2124,365
2365,365
2404,365
2656,365
2668,365
3110,365
3124,365
3365,365
3404,365
3656,365
3668,365
366,366
367,367
368,368
463,368
603,368
751,368
241,369
369,369
1006,369
1654,369
370,370
371,371
372,372
1751,372
2232,372
39,373
159,373
373,373
649,373
774,373
1162,373
1622,373
374,374
1629,374
3240,374
375,375
376,376
524,376
657,376
658,376
940,376
949,376
957,376
964,376
1809,376
254,377
377,377
1790,377
378,378
891,378
379,379
380,380
948,380
1328,380
381,381
382,382
474,382
650,382
767,382
773,382
901,382
1222,382
383,383
482,383
725,383
784,383
824,383
951,383
384,384
385,385
2670,385
386,386
387,387
630,387
388,388
389,389
390,390
391,391
392,392
171,393
248,393
393,393
807,393
963,393
2598,393
3006,393
394,394
395,395
396,396
685,396
780,396
1803,396
2499,396
3598,396
397,397
3,398
108,398
164,398
398,398
416,398
523,398
809,398
823,398
849,398
974,398
1001,398
1484,398
1649,398
399,399
892,399
976,399
400,400
402,400
527,400
3575,400
401,401
400,402
402,402
527,402
3575,402
403,403
2835,403
3042,403
110,404
124,404
365,404
404,404
656,404
668,404
1110,404
1124,404
1365,404
1404,404
1656,404
1668,404
2110,404
2124,404
2365,404
2404,404
2656,404
2668,404
3110,404
3124,404
3365,404
3404,404
3656,404
3668,404
405,405
406,406
932,406
2673,406
157,407
407,407
408,408
409,409
44,410
410,410
677,410
411,411
1768,411
2007,411
3145,411
30,412
172,412
412,412
1294,412
2077,412
2181,412
78,413
413,413
1869,413
414,414
533,414
837,414
846,414
1526,414
415,415
534,415
1852,415
3,416
108,416
164,416
398,416
416,416
523,416
809,416
823,416
849,416
974,416
1001,416
1484,416
1649,416
417,417
698,417
1848,417
179,418
418,418
1865,418
97,419
419,419
312,420
420,420
1549,420
421,421
422,422
423,423
483,423
1260,423
112,424
288,424
424,424
434,424
838,424
1439,424
425,425
528,425
835,425
1837,425
300,426
426,426
438,426
552,426
427,427
536,427
689,427
699,427
1418,427
428,428
439,428
996,428
429,429
704,429
430,430
12,431
115,431
167,431
225,431
431,431
691,431
853,431
965,431
985,431
991,431
1234,431
1854,431
432,432
435,432
433,433
112,434
288,434
424,434
434,434
838,434
1439,434
432,435
435,435
436,436
553,436
713,436
871,436
1295,436
1709,436
32,437
81,437
119,437
295,437
313,437
437,437
450,437
557,437
1311,437
2562,437
300,438
426,438
438,438
552,438
428,439
439,439
996,439
440,440
997,440
1182,440
441,441
2078,441
2989,441
442,442
451,442
1863,442
176,443
443,443
2116,443
444,444
82,445
304,445
445,445
543,445
1280,445
2870,445
180,446
446,446
863,446
447,447
3314,447
50,448
191,448
448,448
456,448
560,448
710,448
711,448
870,448
873,448
449,449
32,450
81,450
119,450
295,450
313,450
437,450
450,450
557,450
1311,450
2562,450
442,451
451,451
1863,451
452,452
453,453
454,454
1460,454
118,455
455,455
547,455
559,455
562,455
563,455
1715,455
50,456
191,456
448,456
456,456
560,456
710,456
711,456
870,456
873,456
4,457
48,457
457,457
1981,457
314,458
458,458
459,459
460,460
461,461
462,462
368,463
463,463
603,463
751,463
128,464
464,464
579,464
1735,464
465,465
466,466
467,467
468,468
469,469
1753,469
2621,469
262,470
470,470
131,471
471,471
1005,471
1918,471
2013,471
472,472
473,473
1216,473
2060,473
382,474
474,474
650,474
767,474
773,474
901,474
1222,474
475,475
476,476
1341,476
2614,476
477,477
237,478
259,478
478,478
643,478
654,478
1802,478
1931,478
2266,478
2491,478
479,479
1202,479
480,480
481,481
383,482
482,482
725,482
784,482
824,482
951,482
423,483
483,483
1260,483
15,484
71,484
111,484
165,484
173,484
278,484
484,484
664,484
671,484
687,484
960,484
1003,484
1033,484
1164,484
2527,484
2529,484
2752,484
485,485
1588,485
486,486
2132,486
3757,486
487,487
488,488
489,489
2364,489
201,490
490,490
577,490
491,491
492,492
493,493
746,493
896,493
494,494
1951,494
495,495
496,496
1784,496
2155,496
3008,496
497,497
498,498
499,499
795,499
1745,499
1797,499
500,500
501,501
357,502
502,502
914,502
1059,502
1060,502
1767,502
2583,502
503,503
627,503
2493,503
3725,503
504,504
505,505
788,505
938,505
1523,505
1955,505
2655,505
226,506
506,506
755,506
781,506
927,506
947,506
507,507
924,507
508,508
509,509
510,510
511,511
954,511
1777,511
2949,511
143,512
512,512
513,513
1517,513
1817,513
2383,513
3252,513
3663,513
514,514
2377,514
3070,514
515,515
918,515
2938,515
516,516
517,517
614,517
3037,517
518,518
2971,518
519,519
520,520
1833,520
521,521
522,522
3394,522
3,523
108,523
164,523
398,523
416,523
523,523
809,523
823,523
849,523
974,523
1001,523
1484,523
1649,523
376,524
524,524
657,524
658,524
940,524
949,524
957,524
964,524
1809,524
149,525
263,525
525,525
821,525
526,526
1657,526
400,527
402,527
527,527
3575,527
425,528
528,528
835,528
1837,528
529,529
530,530
531,531
532,532
414,533
533,533
837,533
846,533
1526,533
415,534
534,534
1852,534
535,535
427,536
536,536
689,536
699,536
1418,536
537,537
538,538
539,539
2852,539
273,540
540,540
541,541
2425,541
542,542
1078,542
3434,542
82,543
304,543
445,543
543,543
1280,543
2870,543
544,544
116,545
545,545
2831,545
546,546
1701,546
118,547
455,547
547,547
