id,actor
1205,John Turturro
1206,Gene Bervoets
1207,Paul McGann
1208,Joan Chen
1209,John Malkovich
1210,Kyle MacLachlan
1211,Jeff Daniels
1212,Rosanna Arquette
1213,Charlotte Rampling
1214,Leonard Nimoy
1215,Brian Dennehy
1216,Mary Tyler Moore
1217,Jerry Zucker
1218,Eiko Masuyama
1219,Jamie Lee Curtis
1220,Isabelle Adjani
1221,John Randolph
1222,John Saxon
1223,Burt Reynolds
1224,Andrew Robinson
1225,Jean Sorel
1226,Wendy Hiller
1227,Ian Hendry
1228,Gert Fröbe
1229,Tippi Hedren
1230,Anna Massey
1231,Alida Valli
1232,Dana Wynter
1233,Natalie Wood
1234,Patricia Neal
1235,Glenn Ford
1236,Ford Beebe Jr.
1237,Gloria Stuart
1238,Debra Messing
1239,Aleksey Rozin
1240,Bria Vinaite
1241,Mckenna Grace
1242,Zack Gottsagen
1243,Frederick Lau
1244,Doga Zeynep Doguslu
1245,Jon Bernthal
1246,Mark Rylance
1247,Holly Hunter
1248,Don Hall
1249,Elena Lyadova
1250,Ben Foster
1251,Steve Coogan
1252,Keri Russell
1253,Hugo Silva
1254,Ananda George
1255,Michael Peña
1256,Mirai Shida
1257,Trine Dyrholm
1258,Seth Rogen
1259,Alberto Ammann
